epoch,accuracy,loss,mean_absolute_error,val_accuracy,val_loss,val_mean_absolute_error
0,0.0,6.791092872619629,0.6265782713890076,0.0,4.566900253295898,0.5074582695960999
1,0.0,6.1295881271362305,0.6087323427200317,0.0,4.825751781463623,0.48576003313064575
2,0.0,6.177670955657959,0.6170158982276917,0.0,4.742593288421631,0.48290061950683594
3,0.0,6.011025428771973,0.604035496711731,0.0,4.749982833862305,0.48782482743263245
4,0.0,5.823522567749023,0.5836273431777954,0.0,4.694063186645508,0.4850975275039673
5,0.0,5.7785844802856445,0.5798030495643616,0.0,4.624015808105469,0.4867028295993805
6,0.0,5.657199859619141,0.5685506463050842,0.0,4.775180816650391,0.49367302656173706
7,0.0,5.7315521240234375,0.5990221500396729,0.0,4.772396087646484,0.49541008472442627
8,0.0,5.518722057342529,0.5633311867713928,0.0,4.633955001831055,0.4932113289833069
9,0.0,5.59036111831665,0.5771816372871399,0.0,4.689412593841553,0.49555858969688416
10,0.0,5.520509719848633,0.568325400352478,0.0,4.5691752433776855,0.4910874664783478
11,0.0,5.339804172515869,0.5426287651062012,0.0,4.531530380249023,0.4875454604625702
12,0.0,5.3253655433654785,0.5390486717224121,0.0,4.578066825866699,0.4878023564815521
13,0.0,5.278130531311035,0.5240179896354675,0.0,4.60294246673584,0.48898619413375854
14,0.0,5.1963114738464355,0.5104336738586426,0.0,4.564828872680664,0.48546481132507324
15,0.0,5.132381916046143,0.49834293127059937,0.0,4.543602466583252,0.4910852015018463
16,0.0,5.103697299957275,0.49554893374443054,0.0,4.517941951751709,0.4880586564540863
17,0.0,5.013688564300537,0.4722590148448944,0.0,4.4802775382995605,0.4876033365726471
18,0.0,4.928374767303467,0.4573969841003418,0.0,4.483561038970947,0.48473477363586426
19,0.0,4.864846229553223,0.44244715571403503,0.0,4.508450984954834,0.48472440242767334
20,0.0,4.77203369140625,0.4227484166622162,0.0,4.447127819061279,0.4866112768650055
21,0.0,4.868507385253906,0.44394463300704956,0.0,4.4352335929870605,0.4932223856449127
22,0.0,4.553262233734131,0.36309564113616943,0.0,4.386476516723633,0.4843737781047821
23,0.0,4.582361698150635,0.3668696880340576,0.0,4.379767894744873,0.4951218366622925
24,0.0,4.463927268981934,0.33710840344429016,0.0,4.480381965637207,0.4953242838382721
25,0.0,4.433591365814209,0.3300924599170685,0.0,4.301987171173096,0.4891737997531891
26,0.0,4.3842058181762695,0.3128495216369629,0.0,4.374885082244873,0.4891277253627777
27,0.0,4.480175971984863,0.3402312397956848,0.0,4.3735737800598145,0.4857971668243408
28,0.0,4.3418402671813965,0.30994823575019836,0.0,4.315299034118652,0.4921557307243347
29,0.0,4.078588485717773,0.2435089647769928,0.0,4.256537437438965,0.4888443052768707
30,0.0,4.2290215492248535,0.2738836705684662,0.0,4.408594608306885,0.488534152507782
31,0.0,4.044676780700684,0.23583786189556122,0.0,4.1914381980896,0.47892093658447266
32,0.0,4.002017021179199,0.22182002663612366,0.0,4.198121547698975,0.47719883918762207
33,0.0,4.007040023803711,0.22292360663414001,0.0,4.182553291320801,0.4781869053840637
34,0.0,3.8925724029541016,0.1991363912820816,0.0,4.175861358642578,0.4797446131706238
35,0.0,3.914985418319702,0.20212073624134064,0.0,4.165964126586914,0.4874686002731323
36,0.0,3.7985174655914307,0.17726702988147736,0.0,4.0785722732543945,0.46604377031326294
37,0.0,3.8064746856689453,0.1739519089460373,0.0,4.1538591384887695,0.4750641882419586
38,0.0,3.779266357421875,0.1715066134929657,0.0,4.1829609870910645,0.48183465003967285
39,0.0,3.7317118644714355,0.16766227781772614,0.0,4.194479465484619,0.4923230707645416
40,0.0,3.5942444801330566,0.12229214608669281,0.0,4.102626800537109,0.47840240597724915
41,0.0,3.573361873626709,0.11706236004829407,0.0,4.063074111938477,0.4805266559123993
42,0.0,3.6258492469787598,0.13701069355010986,0.0,4.057616710662842,0.47549766302108765
43,0.0,3.6538524627685547,0.14679785072803497,0.0,4.099437713623047,0.48612773418426514
44,0.0,3.4857358932495117,0.09607377648353577,0.0,4.023236274719238,0.47706958651542664
45,0.0,3.507777690887451,0.10353845357894897,0.0,4.010711193084717,0.47110652923583984
46,0.0,3.4849343299865723,0.10017134249210358,0.0,4.124856948852539,0.48171111941337585
47,0.0,3.4855103492736816,0.10720653831958771,0.0,4.158742904663086,0.47712308168411255
48,0.0,3.4541053771972656,0.10128296166658401,0.0,3.9746620655059814,0.48964133858680725
